,px,py,pz,sx,sy,sz
369,31.34725125,92.445125625,21.768577875,158.3340301513672,222.72752380371094,-219.6858367919922
370,54.85666575,88.26922275,14.940343499999999,-128.08639526367188,65.04273223876953,-611.1875
371,52.24450858333333,88.73321195833333,15.699036208333332,-96.5739974975586,327.7358093261719,-68.15174865722656
372,49.632351416666666,89.19720116666666,16.457728916666667,-60.208744049072266,503.1090393066406,249.7014617919922
373,47.020194249999996,89.661190375,17.216421625,-11.03909969329834,630.2246704101562,583.076171875
374,44.40803708333333,90.12517958333333,17.97511433333333,39.848716735839844,653.9354858398438,659.6123046875
375,41.795879916666664,90.58916879166667,18.733807041666665,88.1086196899414,602.9507446289062,556.6861572265625
376,39.18372275,91.053158,19.49249975,119.66807556152344,542.36328125,391.11053466796875
377,36.57156558333333,91.51714720833334,20.251192458333332,139.6050567626953,449.9007263183594,190.74278259277344
378,33.95940841666666,91.98113641666667,21.009885166666663,152.37306213378906,331.9019470214844,-41.42150115966797
379,31.34725125,92.445125625,21.768577875,155.41143798828125,194.2107696533203,-267.510009765625
380,54.85666575,88.26922275,20.30034675,511.79888916015625,126.86629486083984,413.63983154296875
381,52.24450858333333,88.73321195833333,20.463483541666665,393.1180114746094,486.8115539550781,1071.6708984375
382,49.632351416666666,89.19720116666666,20.62662033333333,316.1143798828125,711.193603515625,1398.5316162109375
383,47.020194249999996,89.661190375,20.789757124999998,276.0727233886719,758.6712036132812,1182.0228271484375
384,44.40803708333333,90.12517958333333,20.952893916666664,207.55783081054688,832.1785888671875,1312.9664306640625
385,41.795879916666664,90.58916879166667,21.116030708333334,177.1995086669922,761.666015625,1021.8043823242188
386,39.18372275,91.053158,21.2791675,154.62173461914062,683.0719604492188,733.2911987304688
387,36.57156558333333,91.51714720833334,21.442304291666666,144.78363037109375,570.8438110351562,433.53662109375
388,33.95940841666666,91.98113641666667,21.605441083333332,136.15286254882812,439.5634765625,128.09620666503906
389,31.34725125,92.445125625,21.768577875,130.6145782470703,302.3175048828125,-127.61083984375
390,59.2822665,92.20114275,16.467201,100.62433624267578,-3.0786783695220947,-552.2237548828125
391,56.17837591666667,92.22825195833333,17.056242875,69.36003112792969,564.8123779296875,692.3048095703125
392,53.07448533333333,92.25536116666667,17.64528475,46.040504455566406,972.9437866210938,1669.260009765625
393,49.97059475,92.282470375,18.234326624999998,55.259483337402344,1160.147705078125,2031.95556640625
394,46.866704166666665,92.30957958333333,18.8233685,77.56625366210938,1168.65966796875,1970.70654296875
395,43.76281358333333,92.33668879166667,19.412410375,106.92593383789062,1052.451416015625,1617.3291015625
396,40.658923,92.363798,20.00145225,133.0575408935547,860.3759155273438,1127.77099609375
397,37.55503241666666,92.39090720833333,20.590494125,149.6349334716797,648.189208984375,620.905517578125
398,34.45114183333333,92.41801641666667,21.179536,159.10067749023438,420.1219787597656,136.5970916748047
399,31.34725125,92.445125625,21.768577875,157.86949157714844,245.503173828125,-184.55445861816406
400,55.9542315,89.35940662499999,16.467201,72.21904754638672,53.04212951660156,-519.3541259765625
401,53.220122583333335,89.70226429166667,17.056242875,67.97128295898438,387.718505859375,216.45877075195312
402,50.486013666666665,90.04512195833333,17.64528475,72.48786926269531,623.0629272460938,755.6631469726562
403,47.75190475,90.387979625,18.234326624999998,86.72543334960938,736.1376953125,1046.7415771484375
404,45.01779583333333,90.73083729166666,18.8233685,109.10155487060547,738.708984375,986.7472534179688
405,42.28368691666667,91.07369495833333,19.412410375,132.41778564453125,694.5517578125,799.6063842773438
406,39.549578,91.416552625,20.00145225,150.5811767578125,610.100830078125,558.749755859375
407,36.81546908333333,91.75941029166667,20.590494125,157.2360382080078,492.0356750488281,289.6535339355469
408,34.08136016666667,92.10226795833333,21.179536,161.00247192382812,364.8681640625,30.726594924926758
409,31.34725125,92.445125625,21.768577875,155.6972198486328,226.7249755859375,-223.79779052734375
410,53.342667,87.87060149999999,16.467201,55.41300964355469,82.00178527832031,-502.820556640625
