,px,py,pz,sx,sy,sz
0,81.21682675,89.12641312,34.03387275,-770.5770263671875,27.537813186645508,309.2861633300781
1,81.21682675,89.12641312,34.03387275,-767.5087280273438,23.234037399291992,309.51727294921875
2,80.70325233734589,89.12641312,34.27335643165306,-727.8113403320312,156.82974243164062,354.54986572265625
3,80.1896779246918,89.12641312,34.512840113306126,-656.0203857421875,302.275634765625,502.8813781738281
4,79.67610351203768,89.12641312,34.75232379495919,-586.8840942382812,452.51947021484375,766.4325561523438
5,79.16252909938359,89.12641312,34.99180747661225,-550.2098999023438,589.2251586914062,927.031005859375
6,78.64895468672948,89.12641312,35.23129115826532,-480.5239562988281,736.1508178710938,1206.943359375
7,78.13538027407539,89.12641312,35.470774839918384,-411.2984619140625,886.9415283203125,1472.15478515625
8,77.62180586142128,89.12641312,35.71025852157145,-338.0704650878906,1042.6661376953125,1765.3759765625
9,77.10823144876719,89.12641312,35.94974220322451,-284.6025085449219,1184.5078125,1964.7969970703125
10,76.59465703611308,89.12641312,36.18922588487757,-215.62391662597656,1335.8958740234375,2206.88037109375
11,81.21682675,89.12641312,34.03387275,-809.9987182617188,20.940773010253906,323.064697265625
12,81.21682675,89.12641312,34.03387275,-806.2648315429688,21.555875778198242,326.68585205078125
13,80.68933162576828,89.12641312,34.24089933047429,-733.5826416015625,172.7019500732422,316.3899841308594
14,80.16183650153657,89.12641312,34.447925910948584,-673.1156005859375,320.4005126953125,546.1986083984375
15,79.63434137730485,89.12641312,34.654952491422875,-614.1953125,471.1292419433594,796.6800537109375
16,79.10684625307313,89.12641312,34.86197907189717,-556.7500610351562,624.8715209960938,1073.4393310546875
17,78.57935112884142,89.12641312,35.06900565237145,-534.853759765625,766.6572875976562,1282.6298828125
18,78.0518560046097,89.12641312,35.27603223284574,-471.1222839355469,926.4462280273438,1569.053466796875
19,77.52436088037798,89.12641312,35.483058813320035,-414.79376220703125,1079.73779296875,1850.4071044921875
20,76.99686575614628,89.12641312,35.69008539379433,-352.7619934082031,1245.390380859375,2158.54541015625
21,76.46937063191456,89.12641312,35.89711197426862,-305.2186279296875,1383.9287109375,2314.083740234375
22,81.21682675,89.12641312,34.03387275,-803.0956420898438,25.16829490661621,328.0542907714844
23,81.21682675,89.12641312,34.03387275,-796.0292358398438,27.689163208007812,295.2575988769531
24,80.67745979407859,89.12641312,34.207638103195556,-744.8631591796875,174.15841674804688,344.8111267089844
25,80.13809283815716,89.12641312,34.38140345639111,-696.9404296875,329.6137390136719,565.1188354492188
26,79.59872588223575,89.12641312,34.55516880958667,-644.6582641601562,479.7546691894531,833.4259033203125
27,79.05935892631433,89.12641312,34.728934162782224,-598.371337890625,638.3787231445312,1107.3685302734375
28,78.51999197039292,89.12641312,34.90269951597778,-544.1497192382812,799.3148803710938,1395.957275390625
29,77.9806250144715,89.12641312,35.076464869173336,-538.1166381835938,950.4928588867188,1657.037841796875
30,77.44125805855009,89.12641312,35.25023022236889,-485.517822265625,1111.2025146484375,1920.5389404296875
31,76.90189110262867,89.12641312,35.42399557556445,-437.90081787109375,1275.97314453125,2220.15869140625
32,76.36252414670726,89.12641312,35.59776092876,-391.87506103515625,1444.2791748046875,2503.45947265625
33,81.21682675,89.12641312,34.03387275,-816.947265625,20.18165397644043,376.06268310546875
34,81.21682675,89.12641312,34.03387275,-819.9632568359375,19.482128143310547,375.1581726074219
35,80.66768295447018,89.12641312,34.1737019420245,-767.75439453125,176.41607666015625,399.6197814941406
36,80.11853915894038,89.12641312,34.313531134049,-728.68798828125,335.56787109375,608.2919311523438
37,79.56939536341056,89.12641312,34.4533603260735,-692.3095703125,495.90869140625,860.651611328125
38,79.02025156788075,89.12641312,34.593189518098,-677.0377197265625,643.0546264648438,1092.90673828125
39,78.47110777235095,89.12641312,34.7330187101225,-639.9873046875,809.6709594726562,1427.9404296875
40,77.92196397682113,89.12641312,34.872847902147,-602.30078125,974.0799560546875,1725.7867431640625
41,77.37282018129132,89.12641312,35.0126770941715,-567.215576171875,1142.4737548828125,2019.005859375
42,76.82367638576152,89.12641312,35.152506286196,-530.7764282226562,1312.1395263671875,2324.207763671875
43,76.2745325902317,89.12641312,35.2923354782205,-488.5013122558594,1480.76513671875,2599.775634765625
44,81.21682675,89.12641312,34.03387275,-814.8353271484375,23.712890625,372.3769226074219
45,81.21682675,89.12641312,34.03387275,-820.1278686523438,20.649120330810547,372.2639465332031
46,80.66003908183447,89.12641312,34.13922266072565,-767.1854248046875,181.7753143310547,385.2298583984375
47,80.10325141366894,89.12641312,34.2445725714513,-740.134033203125,342.538818359375,601.0720825195312
48,79.5464637455034,89.12641312,34.34992248217696,-711.4127197265625,502.5709228515625,887.8580322265625
49,78.98967607733788,89.12641312,34.45527239290261,-684.8425903320312,669.9053344726562,1207.3037109375
50,78.43288840917235,89.12641312,34.56062230362826,-656.9798583984375,835.2536010742188,1519.6146240234375
51,77.87610074100682,89.12641312,34.66597221435391,-626.9218139648438,1004.3619384765625,1779.473388671875
52,77.31931307284128,89.12641312,34.771322125079564,-598.4533081054688,1172.793212890625,2076.536376953125
53,76.76252540467576,89.12641312,34.876672035805214,-569.7975463867188,1351.1767578125,2377.013427734375
54,76.20573773651023,89.12641312,34.982021946530864,-540.6773681640625,1525.3782958984375,2653.57177734375
55,81.21682675,89.12641312,34.03387275,-795.1483154296875,26.730960845947266,399.4449768066406
56,81.21682675,89.12641312,34.03387275,-798.3516235351562,25.399524688720703,398.0077209472656
57,80.65455786625989,89.12641312,34.10433418263358,-774.7650756835938,182.22206115722656,355.47637939453125
