,px,py,pz,sx,sy,sz
0,67.504484625,101.073966,24.67232175,-0.11950382590293884,-17.05302619934082,-368.2496032714844
1,66.793919625,99.652883625,24.705611625,2.6810412406921387,-15.159624099731445,-375.3457336425781
2,66.08340224999999,98.231848875,24.838961625,6.591042995452881,-9.924826622009277,-380.2362365722656
3,65.372884875,96.8107665,24.838961625,8.246159553527832,-29.622291564941406,-379.1700439453125
4,64.6623675,95.38973175,24.972311625,7.733694553375244,-30.930320739746094,-387.4127197265625
5,63.951850125,93.96869699999999,25.1389515,10.387838363647461,-27.98151206970215,-383.06268310546875
6,63.241285125,92.547614625,25.2723015,11.526747703552246,-29.19858169555664,-385.7227783203125
7,62.530767749999995,91.126579875,24.405621749999998,-1.4470329284667969,-30.5152645111084,-383.7630310058594
8,61.820250375,89.70549749999999,25.538953875,13.224835395812988,-26.834104537963867,-378.9555358886719
9,61.109733,88.28446275,25.672303875,11.97749137878418,-31.342130661010742,-376.72930908203125
10,60.399215625,86.863428,25.805653875,9.142401695251465,-27.537397384643555,-377.5063171386719
11,59.688650625,85.442345625,25.93895625,12.959431648254395,-29.981830596923828,-385.2078857421875
12,58.97813325,84.021310875,26.07230625,9.72042465209961,-29.30959701538086,-384.9721374511719
13,58.267615875,82.600276125,26.20565625,11.868200302124023,-30.64887809753418,-391.7143859863281
14,57.5570985,81.17919375,26.13898125,-1.9101418256759644,-26.349185943603516,-386.5511779785156
15,56.846581125,79.75815899999999,26.372296125,7.941023826599121,-28.561376571655273,-386.8561096191406
16,56.136016125,78.337076625,26.605658625,15.158708572387695,-32.0471076965332,-390.2550354003906
17,55.425498749999996,76.916041875,26.672286,16.87160873413086,-29.371015548706055,-390.2375793457031
18,54.714981375,75.495007125,26.772298499999998,14.324380874633789,-30.465925216674805,-384.36749267578125
19,54.004464,74.07392475,27.37227825,8.125028610229492,-18.28384017944336,-384.64013671875
20,54.004464,74.07392475,27.338988375,8.631037712097168,-19.896648406982422,-387.7693786621094
21,52.171139625,74.07392475,26.905648499999998,10.730713844299316,-29.8418025970459,-394.02777099609375
22,50.33781525,74.07392475,26.905648499999998,7.184421062469482,-30.09571647644043,-393.82135009765625
23,48.50444325,74.07392475,27.038950874999998,10.004932403564453,-29.390575408935547,-398.0511169433594
24,46.671118875,74.07392475,27.138963375,12.314041137695312,-29.533260345458984,-385.052001953125
25,44.8377945,74.07392475,27.038950874999998,14.004150390625,-28.47806167602539,-377.951171875
26,43.004470125,74.07392475,27.038950874999998,13.456940650939941,-30.627029418945312,-383.5361633300781
27,41.17114575,74.07392475,26.772298499999998,11.919571876525879,-30.993574142456055,-381.19439697265625
28,39.33777375,74.07392475,26.638948499999998,11.347862243652344,-26.337745666503906,-381.5435485839844
29,37.504449375,74.07392475,26.238946125,7.656230926513672,-27.944223403930664,-379.5029602050781
