,px,py,pz,sx,sy,sz
0,67.504484625,100.17394875,28.938997875,-8.623395919799805,-17.889972686767578,-434.9825744628906
1,66.63604275,98.339767125,28.938997875,-4.819685459136963,-20.074115753173828,-427.8614196777344
2,65.767600875,96.555544125,28.938997875,-6.289465427398682,-10.355745315551758,-425.13092041015625
3,64.899206625,94.721314875,28.938997875,-5.727599620819092,-10.247271537780762,-432.1808776855469
4,64.03076475,92.837127,28.938997875,-4.812300682067871,-15.457979202270508,-435.38458251953125
5,63.1623705,91.052904,28.938997875,-7.0770344734191895,-18.00197410583496,-432.5145263671875
6,62.293928625,89.36869349999999,28.938997875,-4.792726993560791,-11.062919616699219,-432.2680969238281
7,61.425534375,87.434499375,28.938997875,-5.032639980316162,-17.085371017456055,-437.6028137207031
8,60.557092499999996,85.750288875,28.938997875,-5.001715183258057,-14.127373695373535,-437.1661071777344
9,59.688650625,83.966065875,28.938997875,-8.539430618286133,-11.769050598144531,-432.7373352050781
10,58.820256375,82.231849125,28.938997875,-6.341941833496094,-14.53662395477295,-431.555419921875
11,57.9518145,80.3976675,28.938997875,-6.2564287185668945,-17.303316116333008,-432.1523132324219
12,57.083420249999996,78.813421875,28.938997875,-0.8552147746086121,-13.393305778503418,-432.90802001953125
13,56.214978375,77.279230125,28.938997875,-4.927932262420654,-12.312402725219727,-430.575439453125
14,55.346584125,75.794997,28.938997875,-5.62190055847168,-10.33275318145752,-427.9681396484375
15,54.47814225,74.510788875,28.938997875,-4.456140518188477,-6.998821258544922,-428.0767822265625
16,53.609700374999996,73.22658075,28.938997875,-0.7823948860168457,-13.173271179199219,-422.6612548828125
17,52.741306125,72.192403875,28.938997875,-3.0245285034179688,-12.392029762268066,-428.5489807128906
18,51.87286425,71.308198125,28.938997875,-4.554325580596924,-12.296542167663574,-422.71734619140625
19,51.00447,70.473951,28.938997875,-2.164865255355835,-16.41733169555664,-422.895263671875
20,51.00447,70.473951,28.938997875,-2.421419382095337,-13.013511657714844,-423.69439697265625
21,49.504473,69.423962625,28.938997875,-2.4750874042510986,-11.04185676574707,-423.4392395019531
22,48.004476,68.47398675,28.938997875,-0.9502570629119873,-13.811595916748047,-433.0030822753906
23,46.504478999999996,67.873959375,28.938997875,3.6033408641815186,-12.447088241577148,-425.4962463378906
24,45.004481999999996,67.42395075,28.938997875,-5.8481645584106445,-10.460467338562012,-430.5768127441406
25,43.504437375,67.123960875,28.938997875,-5.244960308074951,-12.726598739624023,-433.38946533203125
26,42.004440375,66.92398349999999,28.938997875,-5.808918476104736,-15.159074783325195,-427.2731628417969
27,40.504443375,66.823971,28.938997875,-3.4160640239715576,-22.0760498046875,-421.4280700683594
28,39.004446375,67.173967125,28.938997875,-4.472755432128906,-15.535876274108887,-420.2305603027344
29,37.504449375,67.473957,28.938997875,-7.708985328674316,-15.531707763671875,-419.2244567871094
